435,"Banded Dotterel","Black Stilt","South Island Pied Oystercatcher","New Zealand Robin",Wrybill
436,"Black-fronted Tern","Blue Duck","New Zealand Falcon",Mōhua,"Buller's Mollymawk"
437,"Blue Duck",Fantail,"Chatham Island Mollymawk",Kererū,"New Zealand Falcon"
438,Bittern,"Spotted Shag","Black Stilt","Light-mantled Sooty Albatross",Whitehead
441,Kākāpō,"Little Spotted Kiwi",Tūī
442,Kākāpō,Morepork,"Little Penguin",Mōhua,"Black-billed Gull"
443,"Banded Dotterel","Hutton's Shearwater","Southern Royal Albatross","Black-billed Gull",Kea
444,"Yellow-eyed penguin","Gibson's Albatross","Antipodean Albatross",Mōhua,"Black Robin"
445,"Blue Duck","Banded Dotterel",Kererū,"Australasian Crested Grebe",Weka
446,Kākāpō,Tūī,"South Island Kōkako","Rockhopper Penguin"
447,"South Island Kōkako",Saddleback,Tomtit,Kōkako,Kākā
448,"Blue Duck",Kākāpō,"Chatham Island Oystercatcher","Yellow-eyed penguin","Orange-fronted Parakeet"
449,"South Island Kōkako","Little Penguin","Yellow-eyed penguin","Fiordland Crested Penguin","Rockhopper Penguin"
450,Harrier,"Barn Owl","Australasian Crested Grebe","South Island Pied Oystercatcher","Antipodean Albatross"
451,"Yellow-eyed penguin"
452,"Yellow-eyed penguin","Rockhopper Penguin",Rifleman,"Little Penguin",Kingfisher
454,"Yellow-eyed penguin","Banded Dotterel","Antipodean Albatross",Kākā,Kākāpō
455,"South Island Kōkako",Kōkako,"New Zealand Falcon",Tūī,Kererū
